number of expansions,execution time,start,end,algorithm,variance,epsilon,cost
70620,1.16199,"15.0, 15.0","785.0, 785.0",Shared MultiHeuristic A*,False,0.3,3476.396103067895
70620,1.13657,"15.0, 15.0","785.0, 785.0",Shared MultiHeuristic A*,False,0.3,3476.396103067895
70620,1.13309,"15.0, 15.0","785.0, 785.0",Shared MultiHeuristic A*,False,0.3,3476.396103067895
70620,1.13654,"15.0, 15.0","785.0, 785.0",Shared MultiHeuristic A*,False,0.3,3476.396103067895
70620,1.14909,"15.0, 15.0","785.0, 785.0",Shared MultiHeuristic A*,False,0.3,3476.396103067895
53985,0.75601,"15.0, 15.0","785.0, 785.0",Shared MultiHeuristic Greedy Best First Search,False,0.3,3914.8023074035577
53985,0.76222,"15.0, 15.0","785.0, 785.0",Shared MultiHeuristic Greedy Best First Search,False,0.3,3914.8023074035577
53985,0.76323,"15.0, 15.0","785.0, 785.0",Shared MultiHeuristic Greedy Best First Search,False,0.3,3914.8023074035577
53985,0.75770,"15.0, 15.0","785.0, 785.0",Shared MultiHeuristic Greedy Best First Search,False,0.3,3914.8023074035577
53985,0.76450,"15.0, 15.0","785.0, 785.0",Shared MultiHeuristic Greedy Best First Search,False,0.3,3914.8023074035577
12159,0.68054,"15.0, 15.0","785.0, 785.0",Individual Greedy DTS,False,0.3,5176.051224213831
10881,0.63458,"15.0, 15.0","785.0, 785.0",Individual Greedy DTS,False,0.3,5176.051224213831
10881,0.63659,"15.0, 15.0","785.0, 785.0",Individual Greedy DTS,False,0.3,5176.051224213831
10881,0.63531,"15.0, 15.0","785.0, 785.0",Individual Greedy DTS,False,0.3,5176.051224213831
10881,0.63712,"15.0, 15.0","785.0, 785.0",Individual Greedy DTS,False,0.3,5176.051224213831
14404,0.96592,"15.0, 15.0","785.0, 785.0",Individual A* DTS,False,0.3,4163.0865786510185
13964,0.95010,"15.0, 15.0","785.0, 785.0",Individual A* DTS,False,0.3,4163.0865786510185
13964,0.94835,"15.0, 15.0","785.0, 785.0",Individual A* DTS,False,0.3,4163.0865786510185
13964,0.96420,"15.0, 15.0","785.0, 785.0",Individual A* DTS,False,0.3,4163.0865786510185
13964,0.98192,"15.0, 15.0","785.0, 785.0",Individual A* DTS,False,0.3,4163.0865786510185
14124,0.97749,"15.0, 15.0","785.0, 785.0",EISMHA,False,0.0,3476.396103067895
14124,0.97873,"15.0, 15.0","785.0, 785.0",EISMHA,False,0.0,3476.396103067895
14124,0.97099,"15.0, 15.0","785.0, 785.0",EISMHA,False,0.0,3476.396103067895
14124,0.97043,"15.0, 15.0","785.0, 785.0",EISMHA,False,0.0,3476.396103067895
14124,0.97992,"15.0, 15.0","785.0, 785.0",EISMHA,False,0.0,3476.396103067895
14105,0.98397,"15.0, 15.0","785.0, 785.0",EISMHA,False,0.25,4095.046173579959
13855,0.94988,"15.0, 15.0","785.0, 785.0",EISMHA,False,0.25,4096.051224213842
14062,0.97223,"15.0, 15.0","785.0, 785.0",EISMHA,False,0.25,3936.0512242138416
13981,0.96278,"15.0, 15.0","785.0, 785.0",EISMHA,False,0.25,4032.619766708766
14129,0.98855,"15.0, 15.0","785.0, 785.0",EISMHA,False,0.25,4103.330444827421
14426,1.01363,"15.0, 15.0","785.0, 785.0",EISMHA,False,0.5,4327.5945135393495
14415,1.02265,"15.0, 15.0","785.0, 785.0",EISMHA,False,0.5,4349.604614807115
14428,1.01327,"15.0, 15.0","785.0, 785.0",EISMHA,False,0.5,4307.5945135393495
14328,1.01442,"15.0, 15.0","785.0, 785.0",EISMHA,False,0.5,4305.168106668156
14326,1.01124,"15.0, 15.0","785.0, 785.0",EISMHA,False,0.5,4300.31529292577
14255,0.99529,"15.0, 15.0","785.0, 785.0",EISMHA,False,0.75,3863.502884254448
14326,1.00814,"15.0, 15.0","785.0, 785.0",EISMHA,False,0.75,3912.2034611053373
14238,0.98761,"15.0, 15.0","785.0, 785.0",EISMHA,False,0.75,3814.2135623731024
14283,0.99793,"15.0, 15.0","785.0, 785.0",EISMHA,False,0.75,3928.7720036002606
14283,0.99545,"15.0, 15.0","785.0, 785.0",EISMHA,False,0.75,3837.6450198781786
14124,0.98944,"15.0, 15.0","785.0, 785.0",EISMHA,False,1.0,3530.5382386916262
14124,0.99325,"15.0, 15.0","785.0, 785.0",EISMHA,False,1.0,3530.5382386916262
14124,0.99755,"15.0, 15.0","785.0, 785.0",EISMHA,False,1.0,3530.5382386916262
14124,0.99188,"15.0, 15.0","785.0, 785.0",EISMHA,False,1.0,3530.5382386916262
14124,0.99847,"15.0, 15.0","785.0, 785.0",EISMHA,False,1.0,3530.5382386916262
