number of expansions,execution time,start,end,algorithm,variance,epsilon,cost
75315,1.31265,"15.0, 15.0","785.0, 785.0",Shared MultiHeuristic A*,False,0.3,3804591.2942412593
75315,1.28048,"15.0, 15.0","785.0, 785.0",Shared MultiHeuristic A*,False,0.3,3804591.2942412593
75315,1.27973,"15.0, 15.0","785.0, 785.0",Shared MultiHeuristic A*,False,0.3,3804591.2942412593
75315,1.28469,"15.0, 15.0","785.0, 785.0",Shared MultiHeuristic A*,False,0.3,3804591.2942412593
75315,1.27588,"15.0, 15.0","785.0, 785.0",Shared MultiHeuristic A*,False,0.3,3804591.2942412593
52690,0.74861,"15.0, 15.0","785.0, 785.0",Shared MultiHeuristic Greedy Best First Search,False,0.3,4805321.727862593
52690,0.74468,"15.0, 15.0","785.0, 785.0",Shared MultiHeuristic Greedy Best First Search,False,0.3,4805321.727862593
52690,0.74212,"15.0, 15.0","785.0, 785.0",Shared MultiHeuristic Greedy Best First Search,False,0.3,4805321.727862593
52690,0.77476,"15.0, 15.0","785.0, 785.0",Shared MultiHeuristic Greedy Best First Search,False,0.3,4805321.727862593
52690,0.78716,"15.0, 15.0","785.0, 785.0",Shared MultiHeuristic Greedy Best First Search,False,0.3,4805321.727862593
12086,0.71266,"15.0, 15.0","785.0, 785.0",Individual Greedy DTS,False,0.3,7106731.221583924
11304,0.69163,"15.0, 15.0","785.0, 785.0",Individual Greedy DTS,False,0.3,7106731.221583924
11304,0.69108,"15.0, 15.0","785.0, 785.0",Individual Greedy DTS,False,0.3,7106731.221583924
11304,0.70216,"15.0, 15.0","785.0, 785.0",Individual Greedy DTS,False,0.3,7106731.221583924
11304,0.69765,"15.0, 15.0","785.0, 785.0",Individual Greedy DTS,False,0.3,7106731.221583924
15110,1.09452,"15.0, 15.0","785.0, 785.0",Individual A* DTS,False,0.3,4406081.581238322
15103,1.09552,"15.0, 15.0","785.0, 785.0",Individual A* DTS,False,0.3,4406081.581238322
15103,1.11863,"15.0, 15.0","785.0, 785.0",Individual A* DTS,False,0.3,4406081.581238322
15103,1.11857,"15.0, 15.0","785.0, 785.0",Individual A* DTS,False,0.3,4406081.581238322
15103,1.12352,"15.0, 15.0","785.0, 785.0",Individual A* DTS,False,0.3,4406081.581238322
15056,1.13880,"15.0, 15.0","785.0, 785.0",EISMHA,False,0.0,3804650.672119993
15056,1.14605,"15.0, 15.0","785.0, 785.0",EISMHA,False,0.0,3804650.672119993
15056,1.15743,"15.0, 15.0","785.0, 785.0",EISMHA,False,0.0,3804650.672119993
15056,1.14441,"15.0, 15.0","785.0, 785.0",EISMHA,False,0.0,3804650.672119993
15056,1.13757,"15.0, 15.0","785.0, 785.0",EISMHA,False,0.0,3804650.672119993
15056,1.14581,"15.0, 15.0","785.0, 785.0",EISMHA,False,0.25,3805610.0017280057
15050,1.14512,"15.0, 15.0","785.0, 785.0",EISMHA,False,0.25,3805424.5351191103
15050,1.14261,"15.0, 15.0","785.0, 785.0",EISMHA,False,0.25,3805427.0437051877
15050,1.16115,"15.0, 15.0","785.0, 785.0",EISMHA,False,0.25,3805341.3490875736
15050,1.15437,"15.0, 15.0","785.0, 785.0",EISMHA,False,0.25,3805299.9894629084
15050,1.15205,"15.0, 15.0","785.0, 785.0",EISMHA,False,0.5,3805539.793401893
15042,1.15059,"15.0, 15.0","785.0, 785.0",EISMHA,False,0.5,3805693.00852406
15050,1.15133,"15.0, 15.0","785.0, 785.0",EISMHA,False,0.5,3805616.279101677
15050,1.16409,"15.0, 15.0","785.0, 785.0",EISMHA,False,0.5,3805713.4814388156
15050,1.16575,"15.0, 15.0","785.0, 785.0",EISMHA,False,0.5,3805895.4241661583
15056,1.13285,"15.0, 15.0","785.0, 785.0",EISMHA,False,0.75,3805428.582565333
15056,1.14704,"15.0, 15.0","785.0, 785.0",EISMHA,False,0.75,3805454.5523630516
15056,1.13326,"15.0, 15.0","785.0, 785.0",EISMHA,False,0.75,3805535.444195383
15042,1.13661,"15.0, 15.0","785.0, 785.0",EISMHA,False,0.75,3805203.09400848
15050,1.16907,"15.0, 15.0","785.0, 785.0",EISMHA,False,0.75,3805262.496028734
15056,1.15397,"15.0, 15.0","785.0, 785.0",EISMHA,False,1.0,3804817.3857269688
15050,1.15384,"15.0, 15.0","785.0, 785.0",EISMHA,False,1.0,3804722.8882522853
15050,1.16310,"15.0, 15.0","785.0, 785.0",EISMHA,False,1.0,3804722.8882522853
15050,1.19609,"15.0, 15.0","785.0, 785.0",EISMHA,False,1.0,3804722.8882522853
15050,1.17390,"15.0, 15.0","785.0, 785.0",EISMHA,False,1.0,3804722.8882522853
