number of expansions,execution time,start,end,algorithm,variance,epsilon,cost
72095,1.15916,"15.0, 15.0","785.0, 785.0",Shared MultiHeuristic A*,False,0.3,1667.7949493661167
72095,1.15745,"15.0, 15.0","785.0, 785.0",Shared MultiHeuristic A*,False,0.3,1667.7949493661167
72095,1.15698,"15.0, 15.0","785.0, 785.0",Shared MultiHeuristic A*,False,0.3,1667.7949493661167
72095,1.15385,"15.0, 15.0","785.0, 785.0",Shared MultiHeuristic A*,False,0.3,1667.7949493661167
72095,1.15804,"15.0, 15.0","785.0, 785.0",Shared MultiHeuristic A*,False,0.3,1667.7949493661167
5955,0.06006,"15.0, 15.0","785.0, 785.0",Shared MultiHeuristic Greedy Best First Search,False,0.3,1948.2813547067747
5955,0.06106,"15.0, 15.0","785.0, 785.0",Shared MultiHeuristic Greedy Best First Search,False,0.3,1948.2813547067747
5955,0.06006,"15.0, 15.0","785.0, 785.0",Shared MultiHeuristic Greedy Best First Search,False,0.3,1948.2813547067747
5955,0.06006,"15.0, 15.0","785.0, 785.0",Shared MultiHeuristic Greedy Best First Search,False,0.3,1948.2813547067747
5955,0.06206,"15.0, 15.0","785.0, 785.0",Shared MultiHeuristic Greedy Best First Search,False,0.3,1948.2813547067747
727,0.02402,"15.0, 15.0","785.0, 785.0",Individual Greedy DTS,False,0.3,1001716.0218884861
737,0.02402,"15.0, 15.0","785.0, 785.0",Individual Greedy DTS,False,0.3,1001716.0218884861
737,0.02401,"15.0, 15.0","785.0, 785.0",Individual Greedy DTS,False,0.3,1001716.0218884861
737,0.02602,"15.0, 15.0","785.0, 785.0",Individual Greedy DTS,False,0.3,1001716.0218884861
737,0.02402,"15.0, 15.0","785.0, 785.0",Individual Greedy DTS,False,0.3,1001716.0218884861
11450,0.75721,"15.0, 15.0","785.0, 785.0",Individual A* DTS,False,0.3,1845.711383676864
11443,0.75462,"15.0, 15.0","785.0, 785.0",Individual A* DTS,False,0.3,1845.711383676864
11443,0.76420,"15.0, 15.0","785.0, 785.0",Individual A* DTS,False,0.3,1845.711383676864
11443,0.75569,"15.0, 15.0","785.0, 785.0",Individual A* DTS,False,0.3,1845.711383676864
11443,0.75470,"15.0, 15.0","785.0, 785.0",Individual A* DTS,False,0.3,1845.711383676864
9380,0.61685,"15.0, 15.0","785.0, 785.0",EISMHA,False,0.0,1739.4766086414593
9380,0.61860,"15.0, 15.0","785.0, 785.0",EISMHA,False,0.0,1739.4766086414593
9380,0.62359,"15.0, 15.0","785.0, 785.0",EISMHA,False,0.0,1739.4766086414593
9380,0.61857,"15.0, 15.0","785.0, 785.0",EISMHA,False,0.0,1739.4766086414593
9380,0.62156,"15.0, 15.0","785.0, 785.0",EISMHA,False,0.0,1739.4766086414593
10903,0.74970,"15.0, 15.0","785.0, 785.0",EISMHA,False,0.25,1816.0594364862573
14123,1.09352,"15.0, 15.0","785.0, 785.0",EISMHA,False,0.25,1860.4143571373738
13400,1.00145,"15.0, 15.0","785.0, 785.0",EISMHA,False,0.25,1893.9935628832725
11333,0.78571,"15.0, 15.0","785.0, 785.0",EISMHA,False,0.25,1896.2621202458777
10673,0.71919,"15.0, 15.0","785.0, 785.0",EISMHA,False,0.25,1887.0539674441634
14682,1.15863,"15.0, 15.0","785.0, 785.0",EISMHA,False,0.5,1962.159666716432
14891,1.18410,"15.0, 15.0","785.0, 785.0",EISMHA,False,0.5,1962.3320764081075
14325,1.11755,"15.0, 15.0","785.0, 785.0",EISMHA,False,0.5,1941.7458715622695
13920,1.08708,"15.0, 15.0","785.0, 785.0",EISMHA,False,0.5,1883.2071847270797
14263,1.12710,"15.0, 15.0","785.0, 785.0",EISMHA,False,0.5,1979.0076031352899
14489,1.15675,"15.0, 15.0","785.0, 785.0",EISMHA,False,0.75,1822.2983535516225
15335,1.24284,"15.0, 15.0","785.0, 785.0",EISMHA,False,0.75,1883.1285558320667
15805,1.30815,"15.0, 15.0","785.0, 785.0",EISMHA,False,0.75,1848.9000569198233
14561,1.16752,"15.0, 15.0","785.0, 785.0",EISMHA,False,0.75,1842.7427693944398
14494,1.13095,"15.0, 15.0","785.0, 785.0",EISMHA,False,0.75,1827.4548760480818
13623,1.00744,"15.0, 15.0","785.0, 785.0",EISMHA,False,1.0,1813.228714274744
13623,1.00443,"15.0, 15.0","785.0, 785.0",EISMHA,False,1.0,1813.228714274744
13623,1.00591,"15.0, 15.0","785.0, 785.0",EISMHA,False,1.0,1813.228714274744
13623,1.00800,"15.0, 15.0","785.0, 785.0",EISMHA,False,1.0,1813.228714274744
13623,1.01435,"15.0, 15.0","785.0, 785.0",EISMHA,False,1.0,1813.228714274744
