number of expansions,execution time,start,end,algorithm,variance,epsilon,cost
87355,1.55404,"15.0, 15.0","785.0, 785.0",Shared MultiHeuristic A*,False,0.3,1615.6696095415227
87355,1.54329,"15.0, 15.0","785.0, 785.0",Shared MultiHeuristic A*,False,0.3,1615.6696095415227
87355,1.55123,"15.0, 15.0","785.0, 785.0",Shared MultiHeuristic A*,False,0.3,1615.6696095415227
87355,1.54061,"15.0, 15.0","785.0, 785.0",Shared MultiHeuristic A*,False,0.3,1615.6696095415227
87355,1.54241,"15.0, 15.0","785.0, 785.0",Shared MultiHeuristic A*,False,0.3,1615.6696095415227
8930,0.09208,"15.0, 15.0","785.0, 785.0",Shared MultiHeuristic Greedy Best First Search,False,0.3,1201798.9895941643
8930,0.09008,"15.0, 15.0","785.0, 785.0",Shared MultiHeuristic Greedy Best First Search,False,0.3,1201798.9895941643
8930,0.09108,"15.0, 15.0","785.0, 785.0",Shared MultiHeuristic Greedy Best First Search,False,0.3,1201798.9895941643
8930,0.09108,"15.0, 15.0","785.0, 785.0",Shared MultiHeuristic Greedy Best First Search,False,0.3,1201798.9895941643
8930,0.09308,"15.0, 15.0","785.0, 785.0",Shared MultiHeuristic Greedy Best First Search,False,0.3,1201798.9895941643
2612,0.09609,"15.0, 15.0","785.0, 785.0",Individual Greedy DTS,False,0.3,802033.0721917788
2277,0.08507,"15.0, 15.0","785.0, 785.0",Individual Greedy DTS,False,0.3,802033.0721917788
2277,0.08708,"15.0, 15.0","785.0, 785.0",Individual Greedy DTS,False,0.3,802033.0721917788
2277,0.08508,"15.0, 15.0","785.0, 785.0",Individual Greedy DTS,False,0.3,802033.0721917788
2277,0.08808,"15.0, 15.0","785.0, 785.0",Individual Greedy DTS,False,0.3,802033.0721917788
16486,1.25733,"15.0, 15.0","785.0, 785.0",Individual A* DTS,False,0.3,2078.202307403551
16437,1.26676,"15.0, 15.0","785.0, 785.0",Individual A* DTS,False,0.3,2078.202307403551
16437,1.25266,"15.0, 15.0","785.0, 785.0",Individual A* DTS,False,0.3,2078.202307403551
16437,1.24767,"15.0, 15.0","785.0, 785.0",Individual A* DTS,False,0.3,2078.202307403551
16437,1.25119,"15.0, 15.0","785.0, 785.0",Individual A* DTS,False,0.3,2078.202307403551
10182,0.67713,"15.0, 15.0","785.0, 785.0",EISMHA,False,0.0,1711.822509939087
10182,0.66865,"15.0, 15.0","785.0, 785.0",EISMHA,False,0.0,1711.822509939087
10182,0.66629,"15.0, 15.0","785.0, 785.0",EISMHA,False,0.0,1711.822509939087
10182,0.66889,"15.0, 15.0","785.0, 785.0",EISMHA,False,0.0,1711.822509939087
10182,0.67137,"15.0, 15.0","785.0, 785.0",EISMHA,False,0.0,1711.822509939087
12704,0.91452,"15.0, 15.0","785.0, 785.0",EISMHA,False,0.25,1789.7951647286177
14426,1.11055,"15.0, 15.0","785.0, 785.0",EISMHA,False,0.25,1807.4987001723352
13906,1.05809,"15.0, 15.0","785.0, 785.0",EISMHA,False,0.25,1827.6408357960659
13065,0.96637,"15.0, 15.0","785.0, 785.0",EISMHA,False,0.25,1792.1626970967636
13884,1.04447,"15.0, 15.0","785.0, 785.0",EISMHA,False,0.25,1848.2093782909901
17401,1.48643,"15.0, 15.0","785.0, 785.0",EISMHA,False,0.5,1903.8690896104595
16932,1.41842,"15.0, 15.0","785.0, 785.0",EISMHA,False,0.5,1911.5190462828705
17271,1.45261,"15.0, 15.0","785.0, 785.0",EISMHA,False,0.5,1851.9509221961553
15282,1.23604,"15.0, 15.0","785.0, 785.0",EISMHA,False,0.5,1840.9569829568154
17983,1.55805,"15.0, 15.0","785.0, 785.0",EISMHA,False,0.5,1997.1880938411787
16833,1.43645,"15.0, 15.0","785.0, 785.0",EISMHA,False,0.75,1842.8073580374385
14471,1.13305,"15.0, 15.0","785.0, 785.0",EISMHA,False,0.75,1809.683894891397
15379,1.26217,"15.0, 15.0","785.0, 785.0",EISMHA,False,0.75,1859.5539525764862
17221,1.48250,"15.0, 15.0","785.0, 785.0",EISMHA,False,0.75,1819.8759871875363
17124,1.45490,"15.0, 15.0","785.0, 785.0",EISMHA,False,0.75,1834.5468099015493
11144,0.74768,"15.0, 15.0","785.0, 785.0",EISMHA,False,1.0,1639.4082963767132
10929,0.73519,"15.0, 15.0","785.0, 785.0",EISMHA,False,1.0,1620.3544725075512
10929,0.74368,"15.0, 15.0","785.0, 785.0",EISMHA,False,1.0,1620.3544725075512
10929,0.73518,"15.0, 15.0","785.0, 785.0",EISMHA,False,1.0,1620.3544725075512
10929,0.73320,"15.0, 15.0","785.0, 785.0",EISMHA,False,1.0,1620.3544725075512
