number of expansions,execution time,start,end,algorithm,variance,epsilon,cost
83360,1.46038,"15.0, 15.0","785.0, 785.0",Shared MultiHeuristic A*,False,0.3,1689.5781658837677
83360,1.45283,"15.0, 15.0","785.0, 785.0",Shared MultiHeuristic A*,False,0.3,1689.5781658837677
83360,1.45135,"15.0, 15.0","785.0, 785.0",Shared MultiHeuristic A*,False,0.3,1689.5781658837677
83360,1.44359,"15.0, 15.0","785.0, 785.0",Shared MultiHeuristic A*,False,0.3,1689.5781658837677
83360,1.44531,"15.0, 15.0","785.0, 785.0",Shared MultiHeuristic A*,False,0.3,1689.5781658837677
6070,0.05806,"15.0, 15.0","785.0, 785.0",Shared MultiHeuristic Greedy Best First Search,False,0.3,3401365.6324081654
6070,0.05906,"15.0, 15.0","785.0, 785.0",Shared MultiHeuristic Greedy Best First Search,False,0.3,3401365.6324081654
6070,0.06005,"15.0, 15.0","785.0, 785.0",Shared MultiHeuristic Greedy Best First Search,False,0.3,3401365.6324081654
6070,0.05741,"15.0, 15.0","785.0, 785.0",Shared MultiHeuristic Greedy Best First Search,False,0.3,3401365.6324081654
6070,0.05849,"15.0, 15.0","785.0, 785.0",Shared MultiHeuristic Greedy Best First Search,False,0.3,3401365.6324081654
611,0.01802,"15.0, 15.0","785.0, 785.0",Individual Greedy DTS,False,0.3,5101336.832408167
747,0.02202,"15.0, 15.0","785.0, 785.0",Individual Greedy DTS,False,0.3,5101336.832408167
663,0.01902,"15.0, 15.0","785.0, 785.0",Individual Greedy DTS,False,0.3,5101336.832408167
663,0.02002,"15.0, 15.0","785.0, 785.0",Individual Greedy DTS,False,0.3,5101336.832408167
663,0.02002,"15.0, 15.0","785.0, 785.0",Individual Greedy DTS,False,0.3,5101336.832408167
12667,0.83580,"15.0, 15.0","785.0, 785.0",Individual A* DTS,False,0.3,2170.8692331854536
12618,0.83427,"15.0, 15.0","785.0, 785.0",Individual A* DTS,False,0.3,2170.8692331854536
12618,0.83769,"15.0, 15.0","785.0, 785.0",Individual A* DTS,False,0.3,2170.8692331854536
12618,0.83142,"15.0, 15.0","785.0, 785.0",Individual A* DTS,False,0.3,2170.8692331854536
12618,0.83520,"15.0, 15.0","785.0, 785.0",Individual A* DTS,False,0.3,2170.8692331854536
5799,0.29228,"15.0, 15.0","785.0, 785.0",EISMHA,False,0.0,1722.9856551794146
5799,0.29462,"15.0, 15.0","785.0, 785.0",EISMHA,False,0.0,1722.9856551794146
5799,0.30180,"15.0, 15.0","785.0, 785.0",EISMHA,False,0.0,1722.9856551794146
5799,0.30428,"15.0, 15.0","785.0, 785.0",EISMHA,False,0.0,1722.9856551794146
5799,0.29678,"15.0, 15.0","785.0, 785.0",EISMHA,False,0.0,1722.9856551794146
8774,0.57050,"15.0, 15.0","785.0, 785.0",EISMHA,False,0.25,2020.1986853046556
9870,0.68416,"15.0, 15.0","785.0, 785.0",EISMHA,False,0.25,2065.1063330429797
7716,0.46957,"15.0, 15.0","785.0, 785.0",EISMHA,False,0.25,2218.711037056153
8901,0.56205,"15.0, 15.0","785.0, 785.0",EISMHA,False,0.25,2053.2959866773576
6197,0.35484,"15.0, 15.0","785.0, 785.0",EISMHA,False,0.25,2080.572105123106
16506,1.39703,"15.0, 15.0","785.0, 785.0",EISMHA,False,0.5,2157.414572499871
9562,0.68889,"15.0, 15.0","785.0, 785.0",EISMHA,False,0.5,2190.591614417219
13258,1.04696,"15.0, 15.0","785.0, 785.0",EISMHA,False,0.5,2008.073201905061
8214,0.50867,"15.0, 15.0","785.0, 785.0",EISMHA,False,0.5,1967.4398974567875
12027,0.86579,"15.0, 15.0","785.0, 785.0",EISMHA,False,0.5,2295.775799009502
9488,0.59406,"15.0, 15.0","785.0, 785.0",EISMHA,False,0.75,1877.024500457282
12236,0.86131,"15.0, 15.0","785.0, 785.0",EISMHA,False,0.75,2011.80237919105
10412,0.68062,"15.0, 15.0","785.0, 785.0",EISMHA,False,0.75,1973.0768957914565
11934,0.83324,"15.0, 15.0","785.0, 785.0",EISMHA,False,0.75,2067.841325991774
8937,0.55956,"15.0, 15.0","785.0, 785.0",EISMHA,False,0.75,1938.9489737300987
6060,0.34031,"15.0, 15.0","785.0, 785.0",EISMHA,False,1.0,1934.8969968041351
6101,0.33931,"15.0, 15.0","785.0, 785.0",EISMHA,False,1.0,1940.754861180404
6101,0.33931,"15.0, 15.0","785.0, 785.0",EISMHA,False,1.0,1940.754861180404
6101,0.34231,"15.0, 15.0","785.0, 785.0",EISMHA,False,1.0,1940.754861180404
6101,0.34131,"15.0, 15.0","785.0, 785.0",EISMHA,False,1.0,1940.754861180404
